mls_listing_number,address,list_price,total_bedrooms,total_bathrooms,total_square_feet,property_type,architecture_style,neighborhood_name,school_district_name,elementary_school_name,middle_school_name,high_school_name,listing_description,views
SF774558,"2295 2nd St #10B, San Francisco, CA",1225000,4,5.5,1300,Townhouse,Edwardian,SOMA,San Francisco Unified School District,Mira Loma Elementary,Hoover Middle School,City Arts & Tech High School,"Stunning 4BD/5.5BA Edwardian townhouse in SOMA — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,300 sq ft across four levels, this naturally lit residence features updated kitchen with gas range and subway tile backsplash, a private rooftop deck, and tandem garage. Open living/dining on the main level flows to a landscaped patio. The primary suite occupies its own floor with a soaking tub and dual walk-in closets. In-unit washer/dryer on bedroom level. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF768933,"3167 45th Ave #18A, San Francisco, CA",600000,2,2.5,1400,Condo,Modern,Outer Sunset,San Francisco Unified School District,Sunset Elementary,Hoover Middle School,Abraham Lincoln High School,"Welcome to unit #11A — a sun-drenched 2BD/2.5BA residence in one of Outer Sunset's most desirable buildings. At 1,400 sq ft, this modern condo offers updated kitchen with gas range and subway tile backsplash, custom built-ins, and wide-plank white oak floors. Amenities include a rooftop terrace and club room. In-unit washer/dryer, tandem garage. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF386090,"772 Frederick St #11B, San Francisco, CA",1150000,1,1.0,1400,Condo,Modern,Cole Valley,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Galileo High School,"Welcome to unit #9D — a luminous 1BD/1.0BA residence in one of Cole Valley's most desirable buildings. At 1,400 sq ft, this modern condo offers chef's kitchen with Carrara marble countertops and stainless appliances, custom built-ins, and engineered hardwood floors. Amenities include a rooftop terrace and club room. In-unit laundry closet, deeded parking. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF421709,"2527 20th St #5C, San Francisco, CA",800000,2,2.0,1750,Condo,Victorian,Mission District,San Francisco Unified School District,Daniel Webster Elementary,Everett Middle School,John O'Connell High School,"Welcome to unit #19B — a light-filled 2BD/2.0BA residence in one of Mission District's most desirable buildings. At 1,750 sq ft, this victorian condo offers designer kitchen with integrated appliances and pantry, custom built-ins, and polished concrete floors. Amenities include a fitness center and concierge. Washer/dryer hookups, EV-ready garage.",None
SF947975,"2298 Broadway, San Francisco, CA",2050000,2,2.5,1400,Condo,Art Deco,Pacific Heights,San Francisco Unified School District,McKinley Elementary,Marina Middle School,George Washington High School,"Sophisticated 2BD/2.5BA art deco condo in the heart of Pacific Heights. This sun-drenched 1,400 sq ft residence features designer kitchen with integrated appliances and pantry, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. In-unit washer/dryer, 1-car garage, and a shared roof deck with panoramic views round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Pacific Heights's Michelin-starred restaurants and nightlife.",City View
SF287143,"24 Italy Ave, San Francisco, CA",1225000,6,6.5,4800,Multi Family,Mid-Century Modern,Excelsior,San Francisco Unified School District,Junipero Serra Elementary,Hoover Middle School,Balboa High School,"Prime Excelsior duplex — a rare turnkey investment or owner-occupy opportunity. This Mid-Century Modern building offers 6 total bedrooms, 6.5 baths, and 4,800 sq ft of living space. Each unit features updated kitchens, hardwood floors, and high ceilings. Building includes 2-car garage and a shared roof deck with panoramic views. Strong rental history in one of SF's most desirable neighborhoods.",None
SF665979,"3763 Arguello Blvd, San Francisco, CA",1050000,1,2.0,1050,Condo,Contemporary,Inner Richmond,San Francisco Unified School District,Lone Mountain Elementary,Roosevelt Middle School,Galileo High School,"Welcome to unit #17A — a sun-soaked 1BD/2.0BA residence in one of Inner Richmond's most desirable buildings. At 1,050 sq ft, this contemporary condo offers bright eat-in kitchen with breakfast nook and garden window, custom built-ins, and engineered hardwood floors. Amenities include bike storage and package room. Washer/dryer hookups, tandem garage.",None
SF999197,"559 Union St, San Francisco, CA",2775000,2,3.0,2900,Single Family,Tudor,Russian Hill,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Tudor in Russian Hill. This 2-bed, 3.0-bath home (2,900 sq ft) balances period character with modern updates. The designer kitchen with integrated appliances and pantry leads to a sunny deck, ideal for entertaining. Upstairs, the sun-drenched primary bedroom features vaulted ceilings. Original fir floors throughout. Tandem garage and washer/dryer hookups. Enjoy breathtaking bay views from the living areas and primary suite. Russian Hill is celebrated for iconic hilltop with Lombard Street, bay views, and charming pedestrian lanes — this home delivers it all.",Bay View
SF837954,"2195 7th Ave, San Francisco, CA",1350000,2,2.5,1050,Condo,Mid-Century Modern,Inner Sunset,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Galileo High School,"Modern living in the vibrant Inner Sunset neighborhood. This sleek 2BD/2.5BA mid-century modern condo (1,050 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a wrap-around deck. Bright and airy throughout with double-pane windows for sound insulation. Building features gym, rooftop, and storage. Washer/dryer hookups and 1-car garage included.",None
SF772865,"763 Cesar Chavez St, San Francisco, CA",1025000,2,3.0,1250,Townhouse,Modern,Mission District,San Francisco Unified School District,Cesar Chavez Elementary,James Lick Middle School,Mission High School,"Exceptional end-unit Modern townhouse in the heart of Mission District. 2 bedrooms, 3.0 baths, 1,250 sq ft. Designed for modern living with chef's kitchen with Carrara marble countertops and stainless appliances, open-plan great room, and a private rear garden. Generous primary suite with spa bath and walk-in closet. Ev-ready garage, in-unit laundry closet, smart home features throughout. Enjoy breathtaking park views from the living areas and primary suite. Walk to Mission District's acclaimed farmers market and green spaces.",Park View
SF945328,"796 Sanchez St, San Francisco, CA",1475000,3,3.0,3950,Multi Family,Victorian,Noe Valley,San Francisco Unified School District,Douglass Elementary,Aptos Middle School,Abraham Lincoln High School,"Prime Noe Valley triplex — a rare turnkey investment or owner-occupy opportunity. This Victorian building offers 3 total bedrooms, 3.0 baths, and 3,950 sq ft of living space. Each unit features period details, modern kitchens, and separate entrances. Building includes tandem garage and an expansive yard. Strong rental history in one of SF's most desirable neighborhoods.",None
SF321686,"3801 Innes Ave #18, San Francisco, CA",800000,5,6.0,2000,Multi Family,Spanish Colonial,Bayview,San Francisco Unified School District,Malcolm X Academy,Martin Luther King Jr. Middle School,Thurgood Marshall High School,"Investor special or perfect for multigenerational living — a fully updated Spanish Colonial triplex in sought-after Bayview. 5 bedrooms and 6.0 baths across 2,000 sq ft. Both units feature in-unit laundry, updated kitchens, and separate meters. Ev-ready garage, separate utilities, and a generous garage with storage. Trophy Bayview address with strong cap rate potential. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF921609,"1778 Cole St #19C, San Francisco, CA",2925000,4,5.0,4050,Multi Family,Mid-Century Modern,Haight-Ashbury,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Aptos Middle School,Abraham Lincoln High School,"Prime Haight-Ashbury two-unit building — a rare turnkey investment or owner-occupy opportunity. This Mid-Century Modern building offers 4 total bedrooms, 5.0 baths, and 4,050 sq ft of living space. Each unit features period details, modern kitchens, and separate entrances. Building includes EV-ready garage and a sunny deck. Strong rental history in one of SF's most desirable neighborhoods.",None
SF471106,"1598 15th St, San Francisco, CA",1900000,5,6.0,1250,Single Family,Contemporary,Duboce Triangle,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Everett Middle School,Abraham Lincoln High School,"Exceptional Contemporary 5BD/6.0BA in coveted Duboce Triangle. Spanning 1,250 sq ft, this bright and airy home features updated kitchen with gas range and subway tile backsplash, gleaming hardwood floors, and a rooftop terrace. The spacious primary suite offers an ensuite bath with soaking tub. Additional highlights: dedicated laundry room, 2-car garage, formal dining room, and a cozy wood-burning fireplace. Situated on a premium block in Duboce Triangle — centrally located, leafy neighborhood popular with young professionals. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF448354,"1240 Guerrero St #23A, San Francisco, CA",1725000,4,5.0,3150,Multi Family,Mid-Century Modern,Mission District,San Francisco Unified School District,Cesar Chavez Elementary,Everett Middle School,John O'Connell High School,"Prime Mission District duplex — a rare turnkey investment or owner-occupy opportunity. This Mid-Century Modern building offers 4 total bedrooms, 5.0 baths, and 3,150 sq ft of living space. Each unit features period details, modern kitchens, and separate entrances. Building includes tandem garage and a wrap-around deck. Strong rental history in one of SF's most desirable neighborhoods. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF849979,"1651 Precita Ave, San Francisco, CA",2150000,2,3.0,3650,Single Family,Ranch,Bernal Heights,San Francisco Unified School District,Fairmount Elementary,Everett Middle School,John O'Connell High School,"Rare opportunity to own a meticulously restored Ranch in Bernal Heights. This 2-bed, 3.0-bath home (3,650 sq ft) balances period character with modern updates. The bright eat-in kitchen with breakfast nook and garden window leads to a shared roof deck with panoramic views, ideal for entertaining. Upstairs, the light-filled primary bedroom features vaulted ceilings. Original fir floors throughout. 1-car garage and dedicated laundry room. Enjoy breathtaking city views from the living areas and primary suite. Bernal Heights is celebrated for tight-knit hilltop community with stunning panoramic views — this home delivers it all.",City View
SF248557,"1960 14th St #24C, San Francisco, CA",1600000,2,2.0,1500,Condo,Edwardian,Duboce Triangle,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Welcome to unit #9D — a luminous 2BD/2.0BA residence in one of Duboce Triangle's most desirable buildings. At 1,500 sq ft, this edwardian condo offers bright eat-in kitchen with breakfast nook and garden window, custom built-ins, and polished concrete floors. Amenities include a fitness center and concierge. In-unit washer/dryer, 1-car garage.",None
SF104666,"3581 De Haro St, San Francisco, CA",1450000,3,3.0,3550,Single Family,Spanish Colonial,Potrero Hill,San Francisco Unified School District,Daniel Webster Elementary,James Lick Middle School,John O'Connell High School,"Exceptional Spanish Colonial 3BD/3.0BA in coveted Potrero Hill. Spanning 3,550 sq ft, this naturally lit home features designer kitchen with integrated appliances and pantry, gleaming hardwood floors, and a wrap-around deck. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: dedicated laundry room, tandem garage, formal dining room, and a cozy wood-burning fireplace. Situated on a wide flat lot in Potrero Hill — sunny micro-climate hill with artsy studios and city skyline views. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF725397,"3774 Oak St, San Francisco, CA",1725000,2,2.0,1450,Condo,Loft,Hayes Valley,San Francisco Unified School District,Buena Vista Elementary,James Lick Middle School,Galileo High School,"Welcome to unit #22D — a naturally lit 2BD/2.0BA residence in one of Hayes Valley's most desirable buildings. At 1,450 sq ft, this loft condo offers updated kitchen with gas range and subway tile backsplash, custom built-ins, and heated tile floors. Amenities include bike storage and package room. In-unit laundry closet, 2-car garage.",None
SF335765,"3147 Elsie St, San Francisco, CA",2700000,5,6.0,3500,Single Family,Craftsman,Bernal Heights,San Francisco Unified School District,Fairmount Elementary,Everett Middle School,Mission High School,"Welcome to this stunning Craftsman home nestled in the heart of Bernal Heights. This naturally lit 5-bedroom, 6.0-bath residence offers 3,500 sq ft of thoughtfully designed living space soaking in city views. The bright eat-in kitchen with breakfast nook and garden window anchors the main floor, opening to a private rear garden. Original architectural details — including bay windows and wainscoting — have been lovingly preserved. Naturally lit primary suite with spa bath. In-unit laundry closet and 1-car parking complete the package. Enjoy breathtaking city views from the living areas and primary suite. Steps from Bernal Heights's top-rated schools and green spaces.",City View
SF697766,"1208 Kirkham St #9, San Francisco, CA",1225000,2,3.0,800,Condo,Victorian,Inner Sunset,San Francisco Unified School District,Grattan Elementary,Aptos Middle School,Galileo High School,"Welcome to unit #10D — a light-filled 2BD/3.0BA residence in one of Inner Sunset's most desirable buildings. At 800 sq ft, this victorian condo offers bright eat-in kitchen with breakfast nook and garden window, custom built-ins, and heated tile floors. Amenities include bike storage and package room. Washer/dryer hookups, EV-ready garage.",None
SF710224,"1477 Persia Ave, San Francisco, CA",1200000,2,2.5,1750,Condo,Modern,Excelsior,San Francisco Unified School District,Guadalupe Elementary,Hoover Middle School,John O'Connell High School,"Modern living in the vibrant Excelsior neighborhood. This sleek 2BD/2.5BA modern condo (1,750 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a landscaped patio. Bright and airy throughout with oversized windows flooding rooms with natural light. Building features secure entry, elevator, and bike room. Dedicated laundry room and deeded parking included. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF477943,"2572 Fillmore St #23A, San Francisco, CA",550000,2,3.0,800,Condo,Edwardian,Lower Haight,San Francisco Unified School District,Buena Vista Elementary,Everett Middle School,Mission High School,"Modern living in the vibrant Lower Haight neighborhood. This sleek 2BD/3.0BA edwardian condo (800 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and a wrap-around deck. Naturally lit throughout with double-pane windows for sound insulation. Building features concierge, fitness center, and guest suite. Washer/dryer hookups and 2-car garage included. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF249792,"2969 Vicente St #24A, San Francisco, CA",1525000,2,3.0,800,Condo,Contemporary,West Portal,San Francisco Unified School District,Miraloma Elementary,Aptos Middle School,Abraham Lincoln High School,"Sophisticated 2BD/3.0BA contemporary condo in the heart of West Portal. This bright and airy 800 sq ft residence features chef's kitchen with Carrara marble countertops and stainless appliances, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. In-unit laundry closet, 1-car garage, and a rooftop terrace round out this exceptional offering. Enjoy breathtaking garden views from the living areas and primary suite. Walk to West Portal's parks, cafés, and transit.",Garden View
SF352792,"1594 Union St, San Francisco, CA",1350000,2,2.0,1200,Condo,Modern,Marina,San Francisco Unified School District,Sherman Elementary,Marina Middle School,George Washington High School,"Welcome to unit #18D — a sun-drenched 2BD/2.0BA residence in one of Marina's most desirable buildings. At 1,200 sq ft, this modern condo offers designer kitchen with integrated appliances and pantry, custom built-ins, and heated tile floors. Amenities include bike storage and package room. In-unit washer/dryer, 1-car garage. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF509711,"363 Ashbury St, San Francisco, CA",1275000,3,4.0,2200,Single Family,Edwardian,Haight-Ashbury,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Presidio Middle School,Galileo High School,"Rare opportunity to own a meticulously restored Edwardian in Haight-Ashbury. This 3-bed, 4.0-bath home (2,200 sq ft) balances period character with modern updates. The chef's kitchen with Carrara marble countertops and stainless appliances leads to a rooftop terrace, ideal for entertaining. Upstairs, the luminous primary bedroom features an ensuite bath and walk-in closet. Original oak floors throughout. Ev-ready garage and in-unit washer/dryer. Haight-Ashbury is celebrated for eclectic Victorian neighborhood steps from Golden Gate Park — this home delivers it all.",None
SF180813,"654 Clay St #4, San Francisco, CA",1050000,0,1.0,1600,Condo,Edwardian,Nob Hill,San Francisco Unified School District,Garfield Elementary,Francisco Middle School,Galileo High School,"Welcome to unit #12C — a sun-soaked 0BD/1.0BA residence in one of Nob Hill's most desirable buildings. At 1,600 sq ft, this edwardian condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and wide-plank white oak floors. Amenities include a rooftop terrace and club room. Dedicated laundry room, 2-car garage. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF443199,"3223 Fell St #20A, San Francisco, CA",1200000,0,1.0,850,Condo,High-Rise,Hayes Valley,San Francisco Unified School District,John Muir Elementary,Everett Middle School,Mission High School,"Sophisticated 0BD/1.0BA high-rise condo in the heart of Hayes Valley. This light-filled 850 sq ft residence features gourmet kitchen with waterfall island and wine refrigerator, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a walk-in closet and ensuite bath. In-unit washer/dryer, 2-car garage, and a private rear garden round out this exceptional offering. Enjoy breathtaking garden views from the living areas and primary suite. Walk to Hayes Valley's best dining and boutiques.",Garden View
SF708982,"2723 Folsom St, San Francisco, CA",650000,2,2.5,600,Condo,Art Deco,Bernal Heights,San Francisco Unified School District,Cesar Chavez Elementary,Everett Middle School,Mission High School,"Welcome to unit #16C — a bright and airy 2BD/2.5BA residence in one of Bernal Heights's most desirable buildings. At 600 sq ft, this art deco condo offers updated kitchen with gas range and subway tile backsplash, custom built-ins, and heated tile floors. Amenities include a rooftop lounge. In-unit laundry closet, EV-ready garage. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF966529,"1026 Taylor St, San Francisco, CA",1775000,3,4.0,1800,Single Family,Victorian,Russian Hill,San Francisco Unified School District,Francisco Elementary,Marina Middle School,George Washington High School,"Exceptional Victorian 3BD/4.0BA in coveted Russian Hill. Spanning 1,800 sq ft, this naturally lit home features gourmet kitchen with waterfall island and wine refrigerator, gleaming hardwood floors, and a private rear garden. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: in-unit laundry closet, 2-car garage, formal dining room, and a cozy wood-burning fireplace. Situated on a sunny corner lot in Russian Hill — iconic hilltop with Lombard Street, bay views, and charming pedestrian lanes. Enjoy breathtaking golden gate views from the living areas and primary suite.",Golden Gate View
SF948611,"3795 Grant Ave, San Francisco, CA",725000,0,1.0,1400,Condo,Edwardian,North Beach,San Francisco Unified School District,Jean Parker Elementary,Marina Middle School,City Arts & Tech High School,"Welcome to unit #19D — a bright and airy 0BD/1.0BA residence in one of North Beach's most desirable buildings. At 1,400 sq ft, this edwardian condo offers fully remodeled kitchen with custom cabinetry and quartz countertops, custom built-ins, and wide-plank white oak floors. Amenities include a rooftop lounge. Washer/dryer hookups, 2-car garage. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF602985,"116 Sanchez St #8, San Francisco, CA",1975000,3,4.0,2800,Single Family,Tudor,Noe Valley,San Francisco Unified School District,Douglass Elementary,Aptos Middle School,Abraham Lincoln High School,"Welcome to this stunning Tudor home nestled in the heart of Noe Valley. This bright and airy 3-bedroom, 4.0-bath residence offers 2,800 sq ft of thoughtfully designed living space. The fully remodeled kitchen with custom cabinetry and quartz countertops anchors the main floor, opening to a sunny deck. Original architectural details — including period moldings and hardwood floors — have been lovingly preserved. Bright and airy primary suite with spa bath. Washer/dryer hookups and 2-car garage complete the package. Steps from Noe Valley's acclaimed restaurants and transit.",None
SF158896,"3769 Market St, San Francisco, CA",575000,0,1.0,1450,Condo,Mid-Century Modern,Castro,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Everett Middle School,Mission High School,"Modern living in the vibrant Castro neighborhood. This sleek 0BD/1.0BA mid-century modern condo (1,450 sq ft) features designer kitchen with integrated appliances and pantry, Bosch appliances, and a rooftop terrace. Sun-drenched throughout with skylights in the primary bath. Building features gym, rooftop, and storage. Washer/dryer hookups and 1-car garage included.",None
SF954017,"2995 Sanchez St #23C, San Francisco, CA",900000,2,3.0,1050,Condo,Victorian,Noe Valley,San Francisco Unified School District,Alvarado Elementary,Aptos Middle School,Abraham Lincoln High School,"Welcome to unit #22C — a bright and airy 2BD/3.0BA residence in one of Noe Valley's most desirable buildings. At 1,050 sq ft, this victorian condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and heated tile floors. Amenities include a rooftop lounge. Washer/dryer hookups, EV-ready garage. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF868170,"1547 Filbert St #16A, San Francisco, CA",1350000,2,2.5,1200,Condo,Art Deco,North Beach,San Francisco Unified School District,Jean Parker Elementary,Francisco Middle School,City Arts & Tech High School,"Modern living in the vibrant North Beach neighborhood. This sleek 2BD/2.5BA art deco condo (1,200 sq ft) features updated kitchen with gas range and subway tile backsplash, Bosch appliances, and a charming Juliet balcony. Sun-drenched throughout with skylights in the primary bath. Building features secure entry, elevator, and bike room. In-unit washer/dryer and 1-car garage included. Enjoy breathtaking bay views from the living areas and primary suite.",Bay View
SF857111,"213 Mission St, San Francisco, CA",1275000,4,5.0,3000,Multi Family,Spanish Colonial,Excelsior,San Francisco Unified School District,Guadalupe Elementary,Aptos Middle School,Balboa High School,"Prime Excelsior triplex — a rare turnkey investment or owner-occupy opportunity. This Spanish Colonial building offers 4 total bedrooms, 5.0 baths, and 3,000 sq ft of living space. Each unit features updated kitchens, hardwood floors, and high ceilings. Building includes 1-car garage and an expansive yard. Strong rental history in one of SF's most desirable neighborhoods. Enjoy breathtaking park views from the living areas and primary suite.",Park View
SF567429,"262 Sanchez St #23, San Francisco, CA",1150000,2,2.5,900,Condo,High-Rise,Castro,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Sophisticated 2BD/2.5BA high-rise condo in the heart of Castro. This naturally lit 900 sq ft residence features gourmet kitchen with waterfall island and wine refrigerator, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers a spa-inspired bath with dual vanity. In-unit laundry closet, 1-car parking, and a private rear garden round out this exceptional offering. Walk to Castro's parks, cafés, and transit.",None
SF974625,"1637 Webster St, San Francisco, CA",1850000,4,4.0,1550,Single Family,Contemporary,Lower Haight,San Francisco Unified School District,John Muir Elementary,Everett Middle School,Galileo High School,"Exceptional Contemporary 4BD/4.0BA in coveted Lower Haight. Spanning 1,550 sq ft, this naturally lit home features fully remodeled kitchen with custom cabinetry and quartz countertops, gleaming hardwood floors, and an expansive yard. The spacious primary suite offers a private deck and ensuite bath. Additional highlights: washer/dryer hookups, 1-car garage, formal dining room, and a cozy wood-burning fireplace. Situated on a wide flat lot in Lower Haight — gritty, creative neighborhood with dive bars and vintage shops.",None
SF824056,"3260 Jones St #9C, San Francisco, CA",1425000,1,1.5,500,Condo,High-Rise,Russian Hill,San Francisco Unified School District,Francisco Elementary,Marina Middle School,George Washington High School,"Sophisticated 1BD/1.5BA high-rise condo in the heart of Russian Hill. This naturally lit 500 sq ft residence features bright eat-in kitchen with breakfast nook and garden window, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. In-unit laundry closet, tandem garage, and a landscaped patio round out this exceptional offering. Enjoy breathtaking bay views from the living areas and primary suite. Walk to Russian Hill's Michelin-starred restaurants and nightlife.",Bay View
